Date,NASDAQ
2024-05-20,16794.87
2024-05-17,16685.97
2024-05-16,16698.32
2024-05-15,16742.39
2024-05-14,16511.18
2024-05-13,16388.24
2024-05-10,16340.87
2024-05-09,16346.26
2024-05-08,16302.76
2024-05-07,16332.56
2024-05-06,16349.25
2024-05-03,16156.33
2024-05-02,15840.96
2024-05-01,15605.48
2024-04-30,15657.82
2024-04-29,15983.08
2024-04-26,15927.9
2024-04-25,15611.76
2024-04-24,15712.75
2024-04-23,15696.64
2024-04-22,15451.31
2024-04-19,15282.01
2024-04-18,15601.5
2024-04-17,15683.37
2024-04-16,15865.25
2024-04-15,15885.02
2024-04-12,16175.09
2024-04-11,16442.2
2024-04-10,16170.36
2024-04-09,16306.64
2024-04-08,16253.96
2024-04-05,16248.52
2024-04-04,16049.08
2024-04-03,16277.46
2024-04-02,16240.45
2024-04-01,16396.83
2024-03-28,16379.46
2024-03-27,16399.52
2024-03-26,16315.7
2024-03-25,16384.47
2024-03-22,16428.82
2024-03-21,16401.84
2024-03-20,16369.41
2024-03-19,16166.79
2024-03-18,16103.45
2024-03-15,15973.17
2024-03-14,16128.53
2024-03-13,16177.77
2024-03-12,16265.64
2024-03-11,16019.27
2024-03-08,16085.11
2024-03-07,16273.38
2024-03-06,16031.54
2024-03-05,15939.59
2024-03-04,16207.51
2024-03-01,16274.94
2024-02-29,16091.92
2024-02-28,15947.74
2024-02-27,16035.3
2024-02-26,15976.25
2024-02-23,15996.82
2024-02-22,16041.62
2024-02-21,15580.87
2024-02-20,15630.78
2024-02-16,15775.65
2024-02-15,15906.17
2024-02-14,15859.15
2024-02-13,15655.6
2024-02-12,15942.55
2024-02-09,15990.66
2024-02-08,15793.71
2024-02-07,15756.64
2024-02-06,15609.0
2024-02-05,15597.68
2024-02-02,15628.95
2024-02-01,15361.64
2024-01-31,15164.01
2024-01-30,15509.9
2024-01-29,15628.04
2024-01-26,15455.36
2024-01-25,15510.5
2024-01-24,15481.92
2024-01-23,15425.94
2024-01-22,15360.29
2024-01-19,15310.97
2024-01-18,15055.65
2024-01-17,14855.62
2024-01-16,14944.35
2024-01-12,14972.76
2024-01-11,14970.19
2024-01-10,14969.65
2024-01-09,14857.71
2024-01-08,14843.77
2024-01-05,14524.07
2024-01-04,14510.3
2024-01-03,14592.21
2024-01-02,14765.94
2023-12-29,15011.35
2023-12-28,15095.14
2023-12-27,15099.18
2023-12-26,15074.57
2023-12-22,14992.97
2023-12-21,14963.87
2023-12-20,14777.94
2023-12-19,15003.22
2023-12-18,14904.81
2023-12-15,14813.92
2023-12-14,14761.56
2023-12-13,14733.96
2023-12-12,14533.4
2023-12-11,14432.49
2023-12-08,14403.97
2023-12-07,14339.99
2023-12-06,14146.71
2023-12-05,14229.91
2023-12-04,14185.49
2023-12-01,14305.03
2023-11-30,14226.22
2023-11-29,14258.49
2023-11-28,14281.76
2023-11-27,14241.02
2023-11-24,14250.85
2023-11-22,14265.86
2023-11-21,14199.98
2023-11-20,14284.53
2023-11-17,14125.48
2023-11-16,14113.67
2023-11-15,14103.84
2023-11-14,14094.38
2023-11-13,13767.74
2023-11-10,13798.11
2023-11-09,13521.45
2023-11-08,13650.41
2023-11-07,13639.86
2023-11-06,13518.78
2023-11-03,13478.28
2023-11-02,13294.19
2023-11-01,13061.47
2023-10-31,12851.24
2023-10-30,12789.48
2023-10-27,12643.01
2023-10-26,12595.61
2023-10-25,12821.22
2023-10-24,13139.87
2023-10-23,13018.33
2023-10-20,12983.81
2023-10-19,13186.18
2023-10-18,13314.3
2023-10-17,13533.75
2023-10-16,13567.98
2023-10-13,13407.23
2023-10-12,13574.22
2023-10-11,13659.68
2023-10-10,13562.84
2023-10-09,13484.24
2023-10-06,13431.34
2023-10-05,13219.83
2023-10-04,13236.01
2023-10-03,13059.47
2023-10-02,13307.77
2023-09-29,13219.32
2023-09-28,13201.28
2023-09-27,13092.85
2023-09-26,13063.61
2023-09-25,13271.32
2023-09-22,13211.81
2023-09-21,13223.98
2023-09-20,13469.13
2023-09-19,13678.19
2023-09-18,13710.24
2023-09-15,13708.33
2023-09-14,13926.05
2023-09-13,13813.59
2023-09-12,13773.61
2023-09-11,13917.89
2023-09-08,13761.53
2023-09-07,13748.83
2023-09-06,13872.47
2023-09-05,14020.95
2023-09-01,14031.81
2023-08-31,14034.97
2023-08-30,14019.31
2023-08-29,13943.76
2023-08-28,13705.13
2023-08-25,13590.65
2023-08-24,13463.97
2023-08-23,13721.03
2023-08-22,13505.87
2023-08-21,13497.59
2023-08-18,13290.78
2023-08-17,13316.93
2023-08-16,13474.63
2023-08-15,13631.05
2023-08-14,13788.33
2023-08-11,13644.85
2023-08-10,13737.99
2023-08-09,13722.02
2023-08-08,13884.32
2023-08-07,13994.4
2023-08-04,13909.24
2023-08-03,13959.72
2023-08-02,13973.45
2023-08-01,14283.91
2023-07-31,14346.02
2023-07-28,14316.66
2023-07-27,14050.11
2023-07-26,14127.28
2023-07-25,14144.56
2023-07-24,14058.87
2023-07-21,14032.81
2023-07-20,14063.31
2023-07-19,14358.02
2023-07-18,14353.64
2023-07-17,14244.95
2023-07-14,14113.7
2023-07-13,14138.57
2023-07-12,13918.96
2023-07-11,13760.7
2023-07-10,13685.48
2023-07-07,13660.72
2023-07-06,13679.04
2023-07-05,13791.65
2023-07-03,13816.77
2023-06-30,13787.92
2023-06-29,13591.33
2023-06-28,13591.75
2023-06-27,13555.67
2023-06-26,13335.78
2023-06-23,13492.52
2023-06-22,13630.61
2023-06-21,13502.2
2023-06-20,13667.29
2023-06-16,13689.57
2023-06-15,13782.82
2023-06-14,13626.48
2023-06-13,13573.32
2023-06-12,13461.92
2023-06-09,13259.14
2023-06-08,13238.52
2023-06-07,13104.89
2023-06-06,13276.42
2023-06-05,13229.43
2023-06-02,13240.77
2023-06-01,13100.98
2023-05-31,12935.29
2023-05-30,13017.43
2023-05-26,12975.69
2023-05-25,12698.09
2023-05-24,12484.16
2023-05-23,12560.25
2023-05-22,12720.78
